string,center,score
earntop,o,1215
eiartgb,a,1214
eiantlo,l,1214
eiantgm,g,1213
eiantoc,i,1212
eartdmh,t,1212
eirntou,n,1212
erlodcp,d,1211
eartodg,g,1211
earntog,g,1211
earodmp,d,1210
eantodc,a,1209
eiandgm,a,1209
eirntcp,n,1209
iantocm,t,1209
erntodu,o,1209
earntcg,n,1208
eantldu,d,1208
eiarndb,a,1207
eirntgb,g,1207
earnldu,r,1206
eartdum,t,1206
ernlodp,o,1206
earntdu,u,1206
eiardgb,a,1205
eiarlgp,a,1205
eartlcg,t,1205
iantlog,o,1205
eiarnlc,r,1203
eirldgb,d,1203
earlodc,o,1202
earodgp,d,1202
eianldb,a,1201
eartdub,d,1201
eiantdg,d,1201
eirtldb,d,1201
iarntgm,g,1201
eiarndp,n,1200
erlodcp,r,1199
earldcu,r,1199
eartcmp,t,1199
eirtocp,t,1199
eartlmb,l,1199
ertodup,d,1199
eirnodc,o,1199
earntlg,l,1199
eiarnlc,i,1198
erntodp,n,1198
earntlo,n,1198
earntgu,n,1198
earndum,m,1198
eiardgp,a,1197
eiarnlb,l,1197
eiatldp,p,1197
eiardch,a,1196
earldcb,l,1196
eartldu,l,1196
eantldp,l,1196
earldbh,d,1195
eiatldp,d,1195
eianldc,i,1194
eartlum,t,1194
eartdum,d,1194
eartodb,b,1194
eiartlo,i,1193
eiantlo,i,1193
earntdh,n,1193
eartldm,l,1193
eirtodp,i,1192
eirtlod,l,1192
eartdmh,d,1192
eiartlh,l,1192
earldum,r,1191
eiartod,i,1190
eiantdg,a,1189
eartdmb,t,1189
eirntdb,n,1189
eartdgu,t,1189
earnldp,l,1189
eianlgm,e,1188
earntcu,n,1188
ernlodp,d,1188
eiarlcp,i,1187
eartlgm,t,1187
earnldg,l,1187
ianlocg,o,1187
eirntdc,c,1187
earntlb,l,1186
eirnodg,o,1185
eartlup,l,1185
eiartmh,a,1184
earntmp,n,1184
eiarlcb,l,1184
eartlop,o,1184
eianlgb,e,1183
eiardcp,c,1183
eirtldp,d,1183
earntgm,g,1182
eartopb,a,1181
earldcg,d,1181
eianlcg,g,1181
eirnldb,r,1179
eirlodp,l,1178
earodgb,a,1177
eiantdp,a,1177
eianldc,n,1177
eiantdp,d,1177
ertlodc,d,1177
einlodg,d,1177
earldmb,b,1177
eirtdmp,t,1175
eirntoh,n,1175
eartlmp,l,1175
eiartdh,i,1174
eiarncp,a,1173
eianldp,d,1173
eianldb,d,1173
eartomb,a,1172
earntcm,n,1172
eirtldc,d,1171
earldcu,d,1170
iantlgm,g,1170
earndgm,m,1169
eardgmb,d,1167
earnldc,l,1167
eiartgb,t,1167
eirntum,i,1166
earntlm,n,1166
eiartmp,m,1166
earnodp,p,1166
eirlodp,p,1166
eirtodb,d,1165
eiantlo,e,1164
eiandgm,i,1163
eartodm,o,1163
earndgp,n,1162
eirntdh,n,1162
ertodcp,d,1162
eirtodm,d,1161
eartldm,m,1161
eiantgp,a,1160
eirtldm,t,1160
eiatldp,t,1160
eirtdcp,d,1160
eiarnog,a,1159
eartocp,c,1159
eantldp,d,1159
erntocu,c,1159
eardgum,a,1158
eiartcu,a,1158
erntodh,t,1158
eiandgm,d,1158
earodgm,a,1157
eiarldh,a,1157
eantldp,t,1157
eiantoc,o,1157
eirtldg,d,1156
eiarnlp,i,1155
eiarlcp,l,1155
eantodc,c,1155
eiatldb,d,1154
eiarnlm,l,1154
erntlod,d,1154
eirntup,n,1153
erntodp,p,1153
eiardcm,i,1152
eiardcb,i,1152
eartlcu,l,1152
earnldb,l,1151
eiarndb,i,1150
earndgb,g,1150
earntcp,p,1150
eirnogp,p,1149
eartodu,a,1148
earnodb,a,1148
eartoph,a,1148
eirntom,o,1148
ertlodp,p,1148
earldum,a,1147
earntub,a,1147
eartlcu,c,1147
erntlod,o,1147
earnldc,c,1147
erntodm,d,1146
eianlgm,m,1146
earldph,r,1145
iantocg,c,1145
eiarnlm,m,1145
eiardmb,a,1144
earlodb,o,1144
eirntgb,t,1144
erntodh,o,1144
eiantom,m,1143
eiarngu,a,1142
eartodb,o,1142
eirlodb,i,1141
eiatldc,d,1141
eirnodc,c,1141
eiantom,i,1138
eiartom,a,1138
eiardcg,a,1138
eardgmp,d,1138
eartlgp,l,1136
eiarlcm,l,1136
eianlgp,e,1134
eartloh,a,1134
earldcm,d,1134
eirtlod,o,1134
eirntom,m,1134
eirnodp,p,1134
earndum,n,1133
earldph,d,1132
earntmp,p,1131
eiartom,m,1131
ernlodp,r,1130
eirtldc,t,1130
iantlcg,l,1130
eiartlh,i,1129
eiartlu,l,1128
eirntdm,m,1128
earldbh,r,1126
eiantdg,g,1126
eiantod,i,1125
earodmb,a,1124
earntup,n,1124
eirntum,n,1124
eiartdg,g,1124
earnlod,a,1123
eiarncp,i,1123
earnldu,l,1123
eiarnlp,l,1123
eiartgm,m,1123
ernodcu,n,1122
earldgu,l,1122
eianlcg,e,1121
ertodcu,d,1121
eantldc,n,1120
eirnlod,r,1120
eiarldu,l,1120
earndgp,g,1120
earntlu,l,1119
eiarlmp,l,1118
eintldg,g,1118
iantlcg,g,1118
earlodp,o,1117
eartlcp,c,1117
eiatldc,t,1116
eantldu,t,1115
eiarlcp,c,1115
earnldc,n,1114
eiartcb,i,1113
eiarlod,a,1113
eirlodb,l,1113
eiarlcm,i,1112
eartdgu,g,1112
eirntdh,d,1112
earnldb,b,1112
eiantod,a,1111
iantocm,c,1111
eartomp,p,1111
eantldp,p,1109
eartdmp,m,1108
earntch,n,1107
ianlocg,c,1107
ertodmp,t,1106
eirtdcp,t,1106
eiarnlc,n,1106
earntcp,c,1106
eiatldc,c,1105
eirnodp,n,1104
eiardgm,m,1104
earlodg,g,1104
eiatldb,b,1104
eiardmp,i,1103
eiarlmb,i,1103
eartlog,l,1103
eiarncp,p,1103
earnodp,a,1102
eantldm,n,1102
eiartup,a,1102
eirtldm,d,1102
eiarlmp,i,1101
eiantdp,i,1100
earldcu,a,1100
erntodu,u,1100
eartdph,p,1099
eiarnlb,i,1098
eartlcb,b,1097
eantodc,o,1096
eirntup,i,1095
eartlbh,l,1095
eartlgu,t,1094
eiantom,e,1093
ertodup,p,1093
eiarnlb,r,1092
ernodcu,c,1091
eirlodb,b,1090
erntlod,t,1088
eirtodm,i,1087
eirnodc,n,1087
ertlodp,t,1086
eantldm,d,1086
earnldu,n,1083
eirtdcm,t,1082
eiantgp,t,1082
eiarlmb,b,1082
eirtdmp,d,1081
eantldp,n,1079
eartlch,l,1078
eartoup,p,1078
erntdup,n,1077
erntdup,d,1077
eiartcm,m,1077
eartgmp,t,1076
earnldm,m,1076
earntlo,l,1075
earntgm,m,1075
earldgp,p,1075
eartlgb,b,1075
earodcm,a,1074
erntodm,n,1074
earntou,n,1074
erntodg,d,1074
eirntcp,p,1072
earldpb,p,1071
eiardgm,g,1071
eirntdu,u,1070
earntum,n,1069
eianldc,c,1068
eiarodc,c,1067
eiandgm,m,1067
eartcph,c,1066
eartlcb,c,1066
eartoph,p,1066
earldmp,p,1066
eiantgp,e,1065
ertodcu,o,1065
iarntlg,t,1065
iantocg,g,1065
eartlph,p,1064
eintldg,d,1064
eirntcg,g,1064
earlodg,l,1063
eartlom,m,1063
eiarlmp,p,1063
earodgp,a,1062
eiarlod,i,1061
eiartlg,g,1061
eirntlo,o,1061
eirnlog,l,1060
eiarnlb,b,1060
earldmp,l,1059
eirtldp,t,1059
eartldh,l,1058
eirlodp,o,1058
eartdum,m,1056
eartocm,o,1055
eiarodp,p,1055
eartdgm,g,1054
earntup,p,1054
eiardch,c,1053
eartoch,h,1053
eiardmp,p,1053
eiartmb,i,1052
eiarldu,a,1051
eirlodc,o,1051
eiarlgm,l,1051
eirnlog,o,1051
eartodg,o,1050
eiartcm,c,1050
eirntgp,p,1050
earodmp,a,1047
eiardpb,a,1047
eiarnlm,r,1047
earnodp,n,1046
eartdcp,c,1046
earndgh,g,1046
eirntlc,n,1045
earntlm,l,1045
eiarlcb,i,1044
eartlpb,p,1044
eartlch,h,1044
iarntgm,t,1043
earndcg,n,1042
earldgm,g,1041
eirtlop,p,1041
eiarndb,n,1040
eartlph,l,1040
ertlodp,l,1039
eirntoh,i,1038
eirtldb,l,1038
eantldu,l,1038
iarntgm,r,1037
eiarlgp,l,1037
earlodm,m,1037
einlodg,l,1036
eiartgm,i,1035
iantlcg,t,1035
eartodu,o,1035
eiartcu,c,1035
eirntgm,m,1035
eianldp,n,1034
eantldc,t,1034
eirndgp,p,1033
eianldb,i,1032
erntdup,t,1032
eirntld,l,1032
earntob,n,1031
earldcu,l,1031
eantldc,d,1031
eiarnod,n,1029
iantlgm,l,1029
eiarlgb,b,1029
ertlodc,t,1028
earntlb,n,1028
earldcb,b,1023
earntog,o,1022
eartoup,a,1021
eartlom,l,1021
eiarndb,b,1021
eartlog,g,1021
eirtdcm,d,1020
earnodb,b,1020
eantldm,t,1019
erntodh,d,1019
eiarlcm,m,1019
earnldm,n,1018
eartlob,o,1018
eiantoc,e,1017
eirnodc,i,1017
ertodcu,t,1017
eiartup,p,1017
earntgb,n,1016
eardgum,g,1016
eartdgp,p,1015
earlodm,l,1014
eirlodg,l,1014
eiatldp,i,1012
earntou,a,1012
earndgb,n,1012
ertodmp,d,1012
eartlgu,l,1012
eiarldh,i,1011
eirntmp,n,1011
earntcu,c,1011
eirtlop,i,1010
eiardch,i,1010
eiarldh,l,1010
earndmb,m,1010
eiartop,i,1009
erntodg,o,1006
eiartcb,c,1006
eiantdp,p,1005
eirlodc,i,1004
eiarlgm,i,1003
eiarlcm,c,1003
eirnodp,i,1002
ertodcp,t,1002
earnodm,o,1002
eartocm,c,1002
eartomp,o,1001
eintldg,l,1001
eiarnlm,n,1000
eiantgp,g,1000
eiarlcb,b,1000
eiarlgm,m,1000
eiartlu,i,999
eirtlop,o,999
earntmp,m,998
eiardcm,c,998
earntgu,g,998
eirtocp,p,998
eirtocp,i,997
eiatldb,t,997
eintldg,t,997
earldpb,b,997
eartlcm,l,996
eartlmb,b,996
eirlodg,i,994
earnlod,l,994
erntocu,u,994
eiatldb,i,993
earldbh,l,991
eiartph,p,991
eiarlmb,m,990
earntlm,m,988
eartlgp,p,988
eartogp,p,988
eirlodp,i,987
earntoh,a,986
eartlgb,g,986
eartlgu,g,984
eartocm,m,984
eiarnlp,n,983
earntlb,b,983
earndcg,g,983
earnldp,n,982
earnodb,o,982
earndmp,n,981
eiarncp,c,981
eartogm,m,981
earodcp,a,980
eirtldp,l,980
eirtlop,l,980
eiardmb,i,979
eirnodp,o,979
eartlcg,l,979
eartlom,o,979
eiartgp,p,979
eartomp,m,978
eirlodc,c,978
eianlgp,p,977
earntcb,n,976
eartdgm,m,976
eartdub,b,976
eiartoc,i,975
eantldc,l,974
erntocp,n,973
eirnogp,o,973
earldgp,g,973
eirntlo,l,973
eiardgb,g,973
eirtodm,m,973
eianldp,p,973
erntodg,t,972
eiardgm,i,971
eiardgp,p,970
earnlod,n,968
eartdgb,g,968
eiartdu,i,967
eiandgm,g,967
earntdb,b,967
eiarngb,b,967
eirlodc,l,966
eiardmp,m,966
erntodh,n,965
earntub,n,965
earldmb,m,965
eirodcp,c,965
earntch,h,965
eianldp,i,964
eirtodb,i,963
eartdcm,c,963
eianlgb,b,963
earndmb,n,962
eartdcb,c,962
eirntoh,o,962
earldph,p,962
eiardgb,b,962
eiartpb,i,961
iarntlg,r,961
eartoch,o,961
eiarlgm,g,960
eirtldp,p,959
eiardgp,i,957
earntgh,n,956
earntcm,c,956
earldbh,b,956
earodcp,p,956
einlodg,o,955
earldum,m,955
eirnlod,i,954
eiarnod,a,953
ernlodp,p,953
earnodp,o,952
eiardcm,m,952
eirldgb,l,951
eirtodm,o,951
eiarlgp,p,951
eirodcp,o,950
eiarlmp,m,950
eiarodp,a,949
eirntlp,n,949
eartcmh,c,949
eianldb,b,948
eiardgb,i,945
erntodg,n,944
eartlmp,m,944
earldcp,c,944
eirndgu,u,944
eardgum,m,943
ertodmp,p,943
eiardcb,c,941
eirodcp,p,941
earnodg,o,940
eirntcp,c,940
eirntou,i,939
eianldb,n,939
eartloh,l,939
earodmb,b,939
earldcg,l,938
earntph,p,938
eartlbh,b,938
eiarodc,a,937
eartdcm,m,937
eirtocp,o,936
eirndgb,b,936
earntlo,o,936
eiartgp,i,935
earntph,n,935
earntmb,n,935
eartcbh,c,935
eiantod,o,935
eirtdcp,p,935
eirtdmp,p,935
eantldm,l,934
eirtomp,p,934
eirntlm,n,933
earnldu,u,932
eirtodb,t,931
earldum,l,930
earntoh,n,930
eirtomp,i,929
earlodm,o,928
eirtldb,t,927
erntdup,u,927
eartogp,o,926
eartcph,h,926
eiartod,o,925
eiarlpb,i,924
eianlcg,c,923
earodgm,g,923
earntum,m,923
eantldm,m,923
eirnldb,b,923
eiardpb,i,922
eirtdcp,c,922
eirlodb,o,920
eirtdmp,m,920
earndgh,n,918
earldph,l,918
eirtldm,l,918
eartdgh,g,918
earodcp,o,917
earndcm,n,917
eiardmb,m,917
earnlod,o,917
iarntlg,l,916
earndcp,p,915
eartump,p,915
eirlodg,g,913
eirntgu,u,912
eiartcu,i,911
eiantlo,o,911
earnodb,n,910
eirnldb,l,909
earndmp,m,909
eiardcg,i,908
eiartmb,m,908
earldcu,c,908
earntlh,n,906
eirodcp,i,905
eiarldu,i,905
eiartmh,m,905
eartdcb,b,905
earodgm,m,905
eartlum,m,905
eiartph,i,904
eiartmh,i,903
earldcm,l,903
eiantgp,p,903
earodmb,o,902
eartlgm,l,902
eartlcm,c,901
earntpb,n,900
eiartom,i,898
eirtldg,l,898
earndcm,m,898
eartopb,o,897
eiarlgb,g,897
eantldu,u,897
eirnlod,l,893
eartlog,o,893
eirtomp,m,893
ernodcu,u,893
eartdpb,p,892
eiarlcb,c,892
iantocm,m,892
eartocb,c,891
earntgp,p,889
eirtldb,b,889
ertodcp,p,889
eirntup,p,889
earndcp,n,887
eiarnod,i,885
eiartop,o,885
earntlh,l,885
ertlodc,c,885
earldgm,l,884
eirtldc,l,883
eartldh,h,883
earodcp,c,882
eirtocp,c,882
eirtldm,m,882
eiarncp,n,881
ertodup,u,881
eartocb,o,880
eartdgp,g,880
eartlum,l,879
earntob,o,879
earodmb,m,878
eartlpb,b,878
eiarodc,i,877
eiarlpb,p,877
erlodcp,p,877
eartogm,o,875
eartoph,o,873
earntgb,g,873
eiarntb,b,873
eiardmb,b,873
eartomb,o,872
eirtomp,o,870
earodcm,o,869
erntlod,n,868
eartcph,p,867
earntcm,m,867
eiarlgb,i,866
earntmh,n,866
eiartcg,i,865
eartoup,o,864
earntgp,g,863
eartlmb,m,863
eirntmp,p,863
earnldm,l,861
earodcm,m,861
iantlcg,c,860
eartdgb,b,859
earodcm,c,858
eirnlod,o,858
eartogm,g,857
earldgm,m,857
ertodcu,c,856
eiarlpb,b,856
eardgmb,g,854
eirntum,m,854
eiartlo,o,853
earndgp,p,852
eirnlod,n,851
eiardcb,b,851
earodgb,b,851
eantldc,c,851
eartdmh,m,850
eiardgp,g,850
eartopb,p,850
eartodh,o,849
eirtodb,o,849
eiartdh,h,849
eirtldc,c,849
iantlgm,t,848
eiantom,o,847
eartomb,m,846
eiarlgp,i,845
eirntlc,l,845
earodmp,p,845
eirtldg,t,844
eiartoc,o,844
earnldb,n,842
eartlgm,g,842
ertlodc,l,841
eiartgm,g,841
eartdbh,b,841
eiartcb,b,840
eartump,m,839
eirntou,o,839
erntodm,m,839
eartlub,u,835
earntcb,c,835
eirntlp,p,833
earntlu,u,832
earndmp,p,831
earldcm,m,831
eirntlc,c,831
ernodcp,n,830
iantlgm,m,829
eartcmh,h,828
earldgu,u,827
earldcg,g,826
ertodcp,c,824
eiarnlb,n,823
eirntlm,m,821
eartdmb,m,819
eirntmp,m,819
eirlodg,o,815
earntob,b,815
earlodg,o,811
earldub,u,811
earodgp,p,811
earodgb,g,808
earldup,u,806
earldcm,c,806
eirndgm,m,805
eartdcu,u,805
erlodcp,l,803
eardgmp,g,800
eartcmp,p,800
eartlcm,m,799
eiarlgp,g,798
eartlgm,m,798
eiartpb,p,796
ernodcp,p,796
eirldgb,b,795
earndum,u,792
iarntgm,m,792
eiarodp,i,791
eartdup,u,791
earntou,o,790
earntgh,g,790
eartdcg,g,790
eartodh,h,789
eartcbh,h,789
ernodcp,c,788
eartdmb,b,788
eiartup,i,786
earldcb,c,786
eiartgb,i,784
earntmh,m,784
erntocp,c,783
erntocp,p,783
earldmp,m,780
eartldu,u,778
eiartcg,c,776
earntdh,h,776
earodmp,m,774
eardgmp,m,770
eartloh,o,770
eartgmp,m,766
earndgu,u,765
eiarncg,c,764
eardgmb,m,764
eartlcu,u,764
eiartgb,b,764
earntcg,g,761
ernlodp,l,760
earndcp,c,758
earodgp,g,758
eirtodb,b,758
earntmb,m,757
earndmb,b,756
ertodmp,m,753
earodmp,o,752
eiardpb,p,751
eiarlod,o,749
eiardcg,c,747
eirntlm,l,747
eirnldb,n,746
earldum,u,746
earntcg,c,743
eartdph,h,743
earodgb,o,742
earntoh,o,740
eartdcg,c,738
eartocb,b,738
eirtldg,g,734
eartlgp,g,733
eartodu,u,732
earntub,b,732
eartogp,g,731
eartdbh,h,729
earldcu,u,724
eirldgb,g,723
eiartom,o,722
eartgmp,p,722
erntdup,p,722
eiarnod,o,718
eiartlh,h,718
eirntlp,l,715
eiartmb,b,715
erntlod,l,714
eirntoh,h,714
eartomb,b,711
ertodcu,u,709
eartlup,u,707
eartdmh,h,707
earodgp,o,706
earndgb,b,706
eirntgh,h,706
eiardch,h,706
earntpb,p,701
eartloh,h,699
eartlcg,c,698
eirtdcm,c,698
eiarntu,u,697
eartdgh,h,697
eartcmp,m,696
eirtdcm,m,696
earntum,u,693
eirntum,u,693
earntcu,u,692
earntup,u,691
eiarnog,o,687
eiarodc,o,685
eirntup,u,684
earodgm,o,680
eardgum,u,675
eiartgb,g,675
erlodcp,c,672
ernlodp,n,671
eartdum,u,670
eiardcg,g,668
eartcmh,m,665
eirntdb,b,665
eirntou,u,664
earndcm,c,663
earntgu,u,661
eartlgu,u,659
erntodg,g,658
eartoph,h,651
eartlbh,h,650
eardgmp,p,650
earntub,u,648
eartdpb,b,648
eartdgu,u,648
eardgmb,b,648
eirntcg,c,644
earntou,u,642
eartlcg,g,640
eartcmp,c,637
eiarodp,o,632
eiarnth,h,631
eartlum,u,624
eartdub,u,621
earntgb,b,620
eiardpb,b,620
earldcg,c,617
eiartgp,g,616
eirntgb,b,613
erntodh,h,612
earntmb,b,611
eartlph,h,610
earntcb,b,600
eartgmp,g,594
eartoup,u,594
eartump,u,592
eartopb,b,582
earntlh,h,573
earntoh,h,567
eiarldh,h,563
earndcg,c,558
eiartph,h,558
eartcbh,b,555
eiartmh,h,553
earntph,h,550
earntmh,h,529
eiarngu,u,525
eiartpb,b,522
eiartcg,g,521
eiartcu,u,518
earldbh,h,499
eirndcg,c,497
eiarldu,u,493
eirntdh,h,469
eiartlu,u,462
earndgh,h,433
earldph,h,431
earntgh,h,428
earntpb,b,422
eiartdu,u,399
eiartup,u,392
eirndgh,h,392
